Date_posted,Reaction,Count,Death_Haccalu
24-Jun,Like,21000,Before
24-Jun,Love,876,Before
24-Jun,Care,272,Before
24-Jun,Angry,50,Before
24-Jun,Haha,64,Before
24-Jun,Wow,22,Before
24-Jun,Sad,3,Before
25-Jun,Like,92000,Before
25-Jun,Love,5500,Before
25-Jun,Care,1748,Before
25-Jun,Angry,397,Before
25-Jun,Haha,380,Before
25-Jun,Wow,268,Before
25-Jun,Sad,17,Before
26-Jun,Like,69000,Before
26-Jun,Love,4200,Before
26-Jun,Care,645,Before
26-Jun,Angry,551,Before
26-Jun,Haha,306,Before
26-Jun,Wow,198,Before
26-Jun,Sad,50,Before
27-Jun,Like,54000,Before
27-Jun,Love,2700,Before
27-Jun,Haha,382,Before
27-Jun,Wow,107,Before
27-Jun,Sad,19,Before
28-Jun,Like,18000,Before
28-Jun,Love,804,Before
28-Jun,Haha,86,Before
28-Jun,Wow,25,Before
28-Jun,Sad,2,Before
29-Jun,Like,22000,Before
29-Jun,Love,771,Before
29-Jun,Haha,369,Before
29-Jun,Wow,23,Before
29-Jun,Sad,53,Before
30-Jun,Like,33000,After
30-Jun,Love,377,After
30-Jun,Care,187,After
30-Jun,Angry,3000,After
30-Jun,Haha,187,After
30-Jun,Wow,49,After
30-Jun,Sad,9600,After
23-Jul,Like,37000,After
23-Jul,Love,6400,After
23-Jul,Care,1100,After
23-Jul,Angry,1300,After
23-Jul,Haha,559,After
23-Jul,Wow,83,After
23-Jul,Sad,40,After
24-Jul,Like,52000,After
24-Jul,Love,6300,After
24-Jul,Care,1266,After
24-Jul,Angry,1489,After
24-Jul,Haha,315,After
24-Jul,Wow,119,After
24-Jul,Sad,46,After
25-Jul,Like,23000,After
25-Jul,Love,2500,After
25-Jul,Care,471,After
25-Jul,Angry,585,After
25-Jul,Haha,186,After
25-Jul,Wow,44,After
25-Jul,Sad,17,After
26-Jul,Like,18000,After
26-Jul,Love,1800,After
26-Jul,Care,342,After
26-Jul,Angry,537,After
26-Jul,Haha,154,After
26-Jul,Wow,33,After
26-Jul,Sad,23,After
27-Jul,Like,67000,After
27-Jul,Love,7900,After
27-Jul,Care,1132,After
27-Jul,Angry,1128,After
27-Jul,Haha,522,After
27-Jul,Wow,389,After
27-Jul,Sad,43,After
28-Jul,Like,23000,After
28-Jul,Love,2700,After
28-Jul,Care,614,After
28-Jul,Angry,1521,After
28-Jul,Haha,334,After
28-Jul,Wow,53,After
28-Jul,Sad,33,After
29-Jul,Like,34000,After
29-Jul,Love,2900,After
29-Jul,Care,708,After
29-Jul,Angry,1079,After
29-Jul,Haha,411,After
29-Jul,Wow,64,After
29-Jul,Sad,26,After
30-Jul,Like,44600,After
30-Jul,Love,4446,After
30-Jul,Care,1024,After
30-Jul,Angry,1133,After
30-Jul,Haha,305,After
30-Jul,Wow,73,After
30-Jul,Sad,35,After
01-Aug,Like,26000,After
01-Aug,Love,2000,After
01-Aug,Care,451,After
01-Aug,Angry,638,After
01-Aug,Haha,201,After
01-Aug,Wow,20,After
01-Aug,Sad,36,After
02-Aug,Like,35000,After
02-Aug,Love,3400,After
02-Aug,Care,758,After
02-Aug,Angry,575,After
02-Aug,Haha,221,After
02-Aug,Wow,76,After
02-Aug,Sad,17,After
04-Aug,Like,24500,After
04-Aug,Love,2939,After
04-Aug,Care,563,After
04-Aug,Angry,759,After
04-Aug,Haha,476,After
04-Aug,Wow,43,After
04-Aug,Sad,1417,After
05-Aug,Like,23000,After
05-Aug,Love,1300,After
05-Aug,Care,253,After
05-Aug,Angry,291,After
05-Aug,Haha,125,After
05-Aug,Wow,13,After
05-Aug,Sad,3000,After
06-Aug,Like,18000,After
06-Aug,Love,1400,After
06-Aug,Care,288,After
06-Aug,Angry,391,After
06-Aug,Haha,158,After
06-Aug,Wow,37,After
06-Aug,Sad,24,After
07-Aug,Like,47000,After
07-Aug,Love,6200,After
07-Aug,Care,1200,After
07-Aug,Angry,607,After
07-Aug,Haha,457,After
07-Aug,Wow,228,After
07-Aug,Sad,22,After
08-Aug,Like,18000,After
08-Aug,Love,1000,After
08-Aug,Care,200,After
08-Aug,Angry,533,After
08-Aug,Haha,326,After
08-Aug,Wow,26,After
08-Aug,Sad,34,After
09-Aug,Like,10650,After
09-Aug,Love,913,After
09-Aug,Care,188,After
09-Aug,Angry,238,After
09-Aug,Wow,79,After
09-Aug,Sad,12,After
